fill	x	y	xmin	xmax	ymin	ymax
#141414	0	0	-0.125	0.125	-2.5	2.5
#000000	0.25	0	0.125	0.375	-2.5	2.5
#151515	0.5	0	0.375	0.625	-2.5	2.5
#8A8A8A	1.5	5	1.375	1.625	2.5	7.5
#191919	0.75	0	0.625	0.875	-2.5	2.5
#0E0E0E	-0.25	0	-0.375	-0.125	-2.5	2.5
#252525	-1	0	-1.125	-0.875	-2.5	2.5
#515151	2.25	0	2.125	2.375	-2.5	2.5
#191919	1	0	0.875	1.125	-2.5	2.5
#242424	-1.25	0	-1.375	-1.125	-2.5	2.5
#161616	-0.75	0	-0.875	-0.625	-2.5	2.5
#292929	1.5	0	1.375	1.625	-2.5	2.5
#1E1E1E	-1.75	0	-1.875	-1.625	-2.5	2.5
#171717	-0.5	0	-0.625	-0.375	-2.5	2.5
#2F2F2F	1.25	0	1.125	1.375	-2.5	2.5
#4A4A4A	-2	0	-2.125	-1.875	-2.5	2.5
#3E3E3E	3.25	0	3.125	3.375	-2.5	2.5
#2E2E2E	-2.5	0	-2.625	-2.375	-2.5	2.5
#303030	-1.5	0	-1.625	-1.375	-2.5	2.5
#2E2E2E	2.75	0	2.625	2.875	-2.5	2.5
#363636	1.75	0	1.625	1.875	-2.5	2.5
#1F1F1F	2	0	1.875	2.125	-2.5	2.5
#3C3C3C	-3	0	-3.125	-2.875	-2.5	2.5
#9E9E9E	-4.75	5	-4.875	-4.625	2.5	7.5
#595959	-2.25	0	-2.375	-2.125	-2.5	2.5
#4E4E4E	3.75	0	3.625	3.875	-2.5	2.5
#4C4C4C	-3.5	0	-3.625	-3.375	-2.5	2.5
#606060	4	0	3.875	4.125	-2.5	2.5
#797979	1	5	0.875	1.125	2.5	7.5
#C5C5C5	1.5	10	1.375	1.625	7.5	12.5
#717171	0.75	5	0.625	0.875	2.5	7.5
#858585	1.25	5	1.125	1.375	2.5	7.5
#989898	-1.75	5	-1.875	-1.625	2.5	7.5
#8C8C8C	-1.5	5	-1.625	-1.375	2.5	7.5
#888888	1.75	5	1.625	1.875	2.5	7.5
#898989	-1.25	5	-1.375	-1.125	2.5	7.5
#939393	-2.25	5	-2.375	-2.125	2.5	7.5
#A0A0A0	-2.5	5	-2.625	-2.375	2.5	7.5
#939393	-2	5	-2.125	-1.875	2.5	7.5
#6F6F6F	-2.75	0	-2.875	-2.625	-2.5	2.5
#626262	2.5	0	2.375	2.625	-2.5	2.5
#707070	4.25	0	4.125	4.375	-2.5	2.5
#5B5B5B	-3.75	0	-3.875	-3.625	-2.5	2.5
#7B7B7B	0.5	5	0.375	0.625	2.5	7.5
#C7C7C7	1	15	0.875	1.125	12.5	17.5
#FFFFFF	1.25	20	1.125	1.375	17.5	22.5
#777777	-4.25	0	-4.375	-4.125	-2.5	2.5
#A3A3A3	4.75	5	4.625	4.875	2.5	7.5
#686868	-4	0	-4.125	-3.875	-2.5	2.5
#7C7C7C	3	0	2.875	3.125	-2.5	2.5
#828282	4.5	0	4.375	4.625	-2.5	2.5
#7D7D7D	-0.5	5	-0.625	-0.375	2.5	7.5
#969696	4.5	5	4.375	4.625	2.5	7.5
#969696	2.75	5	2.625	2.875	2.5	7.5
#9B9B9B	3.25	5	3.125	3.375	2.5	7.5
#AFAFAF	0.25	5	0.125	0.375	2.5	7.5
#878787	-4.5	0	-4.625	-4.375	-2.5	2.5
#B1B1B1	-0.25	5	-0.375	-0.125	2.5	7.5
#E4E4E4	-1.25	30	-1.375	-1.125	27.5	32.5
#777777	-0.75	5	-0.875	-0.625	2.5	7.5
#9B9B9B	-4.5	5	-4.625	-4.375	2.5	7.5
#BEBEBE	-5	5	-5.125	-4.875	2.5	7.5
#9E9E9E	-3.25	5	-3.375	-3.125	2.5	7.5
#D4D4D4	-5.25	5	-5.375	-5.125	2.5	7.5
#8F8F8F	2	5	1.875	2.125	2.5	7.5
#979797	2.25	5	2.125	2.375	2.5	7.5
#D0D0D0	-3.5	5	-3.625	-3.375	2.5	7.5
#A7A7A7	2.5	5	2.375	2.625	2.5	7.5
#7B7B7B	-1	5	-1.125	-0.875	2.5	7.5
#BBBBBB	5	5	4.875	5.125	2.5	7.5
#A8A8A8	-2.75	5	-2.875	-2.625	2.5	7.5
#ACACAC	-1	10	-1.125	-0.875	7.5	12.5
#B3B3B3	1.25	10	1.125	1.375	7.5	12.5
#A2A2A2	1	10	0.875	1.125	7.5	12.5
#B0B0B0	-0.75	10	-0.875	-0.625	7.5	12.5
#C1C1C1	-1	15	-1.125	-0.875	12.5	17.5
#C3C3C3	-1.25	15	-1.375	-1.125	12.5	17.5
#DDDDDD	-1.75	30	-1.875	-1.625	27.5	32.5
#ABABAB	-1.25	10	-1.375	-1.125	7.5	12.5
#D4D4D4	3	5	2.875	3.125	2.5	7.5
#D0D0D0	-1.5	15	-1.625	-1.375	12.5	17.5
#FFFFFF	-2.25	45	-2.375	-2.125	42.5	47.5
#D0D0D0	-1	20	-1.125	-0.875	17.5	22.5
#EEEEEE	0.75	15	0.625	0.875	12.5	17.5
#BFBFBF	3.5	5	3.375	3.625	2.5	7.5
#E4E4E4	5.25	5	5.125	5.375	2.5	7.5
#E4E4E4	-2	15	-2.125	-1.875	12.5	17.5
#D8D8D8	-1.75	20	-1.875	-1.625	17.5	22.5
#E4E4E4	-3	5	-3.125	-2.875	2.5	7.5
#E4E4E4	1.5	15	1.375	1.625	12.5	17.5
#C7C7C7	1.25	15	1.125	1.375	12.5	17.5
#CDCDCD	1.5	20	1.375	1.625	17.5	22.5
#EEEEEE	-1.25	20	-1.375	-1.125	17.5	22.5
#FFFFFF	-1.25	25	-1.375	-1.125	22.5	27.5
#B4B4B4	0.75	10	0.625	0.875	7.5	12.5
#DDDDDD	-3.75	5	-3.875	-3.625	2.5	7.5
#E4E4E4	3.75	5	3.625	3.875	2.5	7.5
#BEBEBE	-1.5	10	-1.625	-1.375	7.5	12.5
#EEEEEE	4	5	3.875	4.125	2.5	7.5
#FFFFFF	-5.75	5	-5.875	-5.625	2.5	7.5
#FFFFFF	5.5	5	5.375	5.625	2.5	7.5
#D8D8D8	-1.75	25	-1.875	-1.625	22.5	27.5
#FFFFFF	1.5	30	1.375	1.625	27.5	32.5
#EEEEEE	1.5	25	1.375	1.625	22.5	27.5
#EEEEEE	1	20	0.875	1.125	17.5	22.5
#E4E4E4	1.75	10	1.625	1.875	7.5	12.5
#EEEEEE	-1.5	25	-1.625	-1.375	22.5	27.5
#FFFFFF	2.25	15	2.125	2.375	12.5	17.5
#D8D8D8	-1.75	15	-1.875	-1.625	12.5	17.5
#FFFFFF	-2.25	15	-2.375	-2.125	12.5	17.5
#FFFFFF	-1.75	10	-1.875	-1.625	7.5	12.5
#FFFFFF	-2	10	-2.125	-1.875	7.5	12.5
#FFFFFF	-2.5	15	-2.625	-2.375	12.5	17.5
#FFFFFF	-2.5	20	-2.625	-2.375	17.5	22.5
#FFFFFF	-1.5	20	-1.625	-1.375	17.5	22.5
#FFFFFF	1.75	35	1.625	1.875	32.5	37.5
#FFFFFF	0.5	10	0.375	0.625	7.5	12.5
#EEEEEE	-0.75	15	-0.875	-0.625	12.5	17.5
#FFFFFF	1.25	25	1.125	1.375	22.5	27.5
#FFFFFF	-0.5	10	-0.625	-0.375	7.5	12.5
#FFFFFF	-1.5	30	-1.625	-1.375	27.5	32.5
#FFFFFF	-1	25	-1.125	-0.875	22.5	27.5
