group	fill	clickSelects
1	#FFFFFF	2562
2	#FFFFFF	1267
3	#FFFFFF	2562
4	#FFFFFF	1267
5	#FFFFFF	1267
6	#FFFFFF	1267
7	#FFFFFF	1267
8	#FFFFFF	1267
9	#FFFFFF	343
10	#FFFFFF	343
11	#FFFFFF	367
12	#FFFFFF	367
13	#FFFFFF	367
14	#FFFFFF	2562
15	#FFFFFF	367
16	#FFFFFF	367
17	#FFFFFF	367
18	#FFFFFF	367
19	#FFFFFF	367
20	#FFFFFF	367
21	#FFFFFF	367
22	#FFFFFF	343
23	#FFFFFF	367
24	#FFFFFF	367
25	#FFFFFF	2562
26	#FFFFFF	367
27	#FFFFFF	367
28	#FFFFFF	343
29	#FFFFFF	343
30	#FFFFFF	343
31	#FFFFFF	343
32	#FFFFFF	343
33	#FFFFFF	343
34	#FFFFFF	343
35	#FFFFFF	343
36	#FFFFFF	1267
37	#FFFFFF	343
38	#FFFFFF	343
39	#FFFFFF	367
40	#FFFFFF	343
41	#FFFFFF	343
42	#FFFFFF	343
43	#FFFFFF	343
44	#FFFFFF	343
45	#FFFFFF	367
46	#FFFFFF	1267
47	#FFFFFF	1267
48	#FFFFFF	1267
49	#FFFFFF	1267
50	#FFFFFF	1267
52	#FFFFFF	2562
53	#FFFFFF	2562
54	#FFFFFF	1267
55	#FFFFFF	1267
56	#FFFFFF	1267
57	#FFFFFF	1267
58	#FFFFFF	1267
59	#FFFFFF	1267
60	#FFFFFF	1267
61	#FFFFFF	343
62	#FFFFFF	367
63	#FFFFFF	367
64	#FFFFFF	2562
65	#FFFFFF	367
66	#FFFFFF	367
67	#FFFFFF	367
68	#FFFFFF	367
69	#FFFFFF	367
70	#FFFFFF	367
71	#FFFFFF	367
72	#FFFFFF	367
73	#FFFFFF	343
74	#FFFFFF	367
75	#FFFFFF	2562
76	#FFFFFF	367
77	#FFFFFF	343
78	#FFFFFF	343
79	#FFFFFF	343
80	#FFFFFF	343
81	#FFFFFF	343
82	#FFFFFF	343
83	#FFFFFF	343
84	#FFFFFF	343
85	#FFFFFF	343
86	#FFFFFF	1267
87	#FFFFFF	343
88	#FFFFFF	343
89	#FFFFFF	343
90	#FFFFFF	367
91	#FFFFFF	3295
92	#FFFFFF	3295
93	#FFFFFF	3295
94	#FFFFFF	3295
95	#FFFFFF	343
97	#FFFFFF	1267
98	#FFFFFF	1267
99	#FFFFFF	1267
100	#FFFFFF	1267
101	#FFFFFF	1267
102	#FFFFFF	2562
103	#FFFFFF	2562
104	#FFFFFF	2562
105	#FFFFFF	1267
106	#FFFFFF	1267
107	#FFFFFF	1267
108	#FFFFFF	1267
109	#FFFFFF	1267
110	#FFFFFF	1267
111	#FFFFFF	343
112	#FFFFFF	367
113	#FFFFFF	367
114	#FFFFFF	367
115	#FFFFFF	2562
116	#FFFFFF	367
117	#FFFFFF	367
118	#FFFFFF	367
119	#FFFFFF	367
120	#FFFFFF	367
121	#FFFFFF	367
122	#FFFFFF	367
123	#FFFFFF	367
124	#FFFFFF	343
125	#FFFFFF	367
126	#FFFFFF	1267
127	#FFFFFF	343
128	#FFFFFF	343
129	#FFFFFF	343
