group	label	showSelected1
1	Cluster 2: 154/2653 pixels shown, logFC -4.4 to 4.4, log10(p) 0.0 to 2.6	2
1	Cluster 54: 463/673 pixels shown, logFC -4.0 to 3.6, log10(p) 0.0 to 1.8	54
1	Cluster 66: 179/1940 pixels shown, logFC -4.2 to 4.2, log10(p) 0.0 to 2.0	66
1	Cluster 233: 25/96 pixels shown, logFC -2.6 to 3.6, log10(p) 0.0 to 1.5	233
1	Cluster 285: 100/100 pixels shown, logFC -3.5 to 3.9, log10(p) 0.0 to 1.8	285
1	Cluster 287: 254/1202 pixels shown, logFC -3.8 to 4.4, log10(p) 0.0 to 2.3	287
1	Cluster 302: 486/836 pixels shown, logFC -4.0 to 4.4, log10(p) 0.0 to 2.3	302
1	Cluster 317: 211/254 pixels shown, logFC -2.6 to 4.2, log10(p) 0.0 to 2.0	317
1	Cluster 321: 141/141 pixels shown, logFC -3.1 to 4.4, log10(p) 0.0 to 2.3	321
1	Cluster 348: 52/103 pixels shown, logFC -2.6 to 3.3, log10(p) 0.0 to 1.1	348
1	Cluster 378: 7/169 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.6	378
1	Cluster 380: 44/44 pixels shown, logFC -3.1 to 3.6, log10(p) 0.0 to 1.5	380
1	Cluster 519: 145/146 pixels shown, logFC -3.8 to 2.8, log10(p) 0.0 to 1.5	519
1	Cluster 537: 2/153 pixels shown, logFC -3.1 to 3.9, log10(p) 0.0 to 1.8	537
1	Cluster 603: 191/707 pixels shown, logFC -3.5 to 4.4, log10(p) 0.0 to 2.3	603
1	Cluster 638: 92/92 pixels shown, logFC -3.1 to 3.3, log10(p) 0.0 to 1.1	638
1	Cluster 726: 22/22 pixels shown, logFC -2.6 to 3.3, log10(p) 0.0 to 1.1	726
1	Cluster 769: 892/1311 pixels shown, logFC -4.2 to 3.6, log10(p) 0.0 to 2.0	769
1	Cluster 781: 63/146 pixels shown, logFC -4.2 to 3.3, log10(p) 0.0 to 2.0	781
1	Cluster 784: 18/18 pixels shown, logFC -3.1 to 0.9, log10(p) 0.0 to 1.0	784
1	Cluster 862: 42/42 pixels shown, logFC -3.8 to 2.7, log10(p) 0.0 to 1.5	862
1	Cluster 1029: 106/290 pixels shown, logFC -3.5 to 2.8, log10(p) 0.0 to 1.3	1029
1	Cluster 1169: 27/27 pixels shown, logFC -3.5 to 2.0, log10(p) 0.0 to 1.3	1169
1	Cluster 1274: 23/23 pixels shown, logFC 0.1 to 3.3, log10(p) 0.0 to 1.1	1274
1	Cluster 1317: 1/11 pixels shown, logFC -3.1 to 0.1, log10(p) 0.0 to 1.0	1317
1	Cluster 1473: 9/9 pixels shown, logFC 0.2 to 4.2, log10(p) 0.0 to 2.0	1473
1	Cluster 1495: 105/141 pixels shown, logFC -2.6 to 3.6, log10(p) 0.0 to 1.5	1495
1	Cluster 1640: 7/7 pixels shown, logFC -3.1 to -0.6, log10(p) 0.2 to 1.0	1640
1	Cluster 1725: 13/14 pixels shown, logFC -2.6 to 3.6, log10(p) 0.0 to 1.5	1725
1	Cluster 1821: 4/4 pixels shown, logFC -3.5 to -0.6, log10(p) 0.2 to 1.3	1821
1	Cluster 1837: 7/7 pixels shown, logFC 0.9 to 3.3, log10(p) 0.3 to 1.5	1837
1	Cluster 1851: 14/19 pixels shown, logFC -3.5 to 0.1, log10(p) 0.0 to 1.3	1851
1	Cluster 1910: 8/8 pixels shown, logFC -2.6 to -0.7, log10(p) 0.2 to 0.7	1910
1	Cluster 1949: 16/16 pixels shown, logFC 0.7 to 3.6, log10(p) 0.2 to 1.5	1949
1	Cluster 1994: 17/17 pixels shown, logFC -3.1 to 0.1, log10(p) 0.0 to 1.0	1994
1	Cluster 2108: 7/7 pixels shown, logFC 1.3 to 3.3, log10(p) 0.5 to 1.1	2108
1	Cluster 2118: 7/16 pixels shown, logFC -3.5 to 0.7, log10(p) 0.1 to 1.4	2118
1	Cluster 2462: 7/7 pixels shown, logFC -4.2 to -0.7, log10(p) 0.3 to 2.0	2462
1	Cluster 2509: 14/14 pixels shown, logFC 0.1 to 2.0, log10(p) 0.0 to 0.5	2509
1	Cluster 2553: 12/16 pixels shown, logFC 0.1 to 2.8, log10(p) 0.0 to 0.8	2553
1	Cluster 2573: 8/20 pixels shown, logFC 0.2 to 3.9, log10(p) 0.0 to 1.8	2573
1	Cluster 2631: 11/11 pixels shown, logFC 0.1 to 3.3, log10(p) 0.0 to 1.2	2631
1	Cluster 2765: 1/3 pixels shown, logFC -3.1 to -2.6, log10(p) 0.7 to 1.0	2765
1	Cluster 2948: 13/50 pixels shown, logFC -3.5 to 2.0, log10(p) 0.0 to 1.3	2948
1	Cluster 3008: 11/11 pixels shown, logFC 1.8 to 2.8, log10(p) 0.5 to 0.8	3008
1	Cluster 3135: 3/3 pixels shown, logFC 2.0 to 2.8, log10(p) 0.5 to 0.8	3135
1	Cluster 3149: 3/3 pixels shown, logFC 3.3 to 3.6, log10(p) 1.1 to 1.5	3149
1	Cluster 3209: 1/13 pixels shown, logFC -3.5 to 0.1, log10(p) 0.0 to 1.3	3209
1	Cluster 3240: 4/4 pixels shown, logFC -2.6 to -1.8, log10(p) 0.4 to 0.7	3240
1	Cluster 3357: 24/24 pixels shown, logFC -0.6 to 2.7, log10(p) 0.0 to 0.8	3357
1	Cluster 3616: 27/27 pixels shown, logFC -3.8 to 0.1, log10(p) 0.0 to 1.5	3616
1	Cluster 3746: 15/15 pixels shown, logFC 0.9 to 2.8, log10(p) 0.3 to 0.8	3746
1	Cluster 3990: 6/6 pixels shown, logFC -1.8 to -0.6, log10(p) 0.2 to 0.8	3990
1	Cluster 3991: 6/6 pixels shown, logFC 0.9 to 3.3, log10(p) 0.3 to 1.1	3991
1	Cluster 4046: 6/6 pixels shown, logFC -3.1 to -1.5, log10(p) 0.4 to 1.0	4046
1	Cluster 4120: 4/4 pixels shown, logFC 2.0 to 2.7, log10(p) 0.5 to 0.8	4120
1	Cluster 4121: 3/3 pixels shown, logFC -3.5 to -1.8, log10(p) 0.4 to 1.3	4121
1	Cluster 4157: 7/7 pixels shown, logFC 0.2 to 3.3, log10(p) 0.0 to 1.1	4157
1	Cluster 4377: 6/6 pixels shown, logFC -3.8 to -2.6, log10(p) 0.7 to 1.5	4377
1	Cluster 4400: 4/4 pixels shown, logFC -3.1 to -1.8, log10(p) 0.4 to 1.0	4400
1	Cluster 4555: 3/3 pixels shown, logFC -3.1 to -2.6, log10(p) 0.7 to 1.0	4555
1	Cluster 4637: 5/5 pixels shown, logFC -3.8 to -1.5, log10(p) 0.7 to 1.5	4637
1	Cluster 4682: 12/12 pixels shown, logFC 0.5 to 2.0, log10(p) 0.2 to 0.5	4682
1	Cluster 4702: 3/3 pixels shown, logFC 2.0 to 3.6, log10(p) 0.5 to 1.5	4702
1	Cluster 5109: 11/17 pixels shown, logFC 0.1 to 2.7, log10(p) 0.0 to 0.8	5109
1	Cluster 5114: 3/6 pixels shown, logFC -1.8 to -1.8, log10(p) 0.4 to 0.4	5114
1	Cluster 5190: 7/7 pixels shown, logFC 0.7 to 2.7, log10(p) 0.2 to 1.7	5190
1	Cluster 5195: 2/12 pixels shown, logFC 0.1 to 3.3, log10(p) 0.0 to 1.1	5195
1	Cluster 5202: 4/4 pixels shown, logFC 1.4 to 3.3, log10(p) 0.5 to 1.1	5202
1	Cluster 5364: 11/11 pixels shown, logFC -3.5 to -1.8, log10(p) 0.4 to 1.3	5364
