fill	x	y	xmin	xmax	ymin	ymax
#B4B4B4	3.5	2	3.375	3.625	1.875	2.125
#BBBBBB	3.5	2.75	3.375	3.625	2.625	2.875
#BBBBBB	3.5	3	3.375	3.625	2.875	3.125
#D0D0D0	4	3.5	3.875	4.125	3.375	3.625
#BBBBBB	3.75	2.75	3.625	3.875	2.625	2.875
#9F9F9F	3.5	2.5	3.375	3.625	2.375	2.625
#E1E1E1	3.75	3	3.625	3.875	2.875	3.125
#818181	2.75	1.5	2.625	2.875	1.375	1.625
#959595	2.5	2	2.375	2.625	1.875	2.125
#444444	2.25	1	2.125	2.375	0.875	1.125
#9F9F9F	3.25	2.25	3.125	3.375	2.125	2.375
#848484	3	2	2.875	3.125	1.875	2.125
#555555	2.5	1	2.375	2.625	0.875	1.125
#767676	3	1	2.875	3.125	0.875	1.125
#B4B4B4	3.5	2.25	3.375	3.625	2.125	2.375
#9C9C9C	3.25	1.5	3.125	3.375	1.375	1.625
#9C9C9C	3	1.5	2.875	3.125	1.375	1.625
#282828	1.75	0	1.625	1.875	-0.125	0.125
#FFFFFF	4	3	3.875	4.125	2.875	3.125
#474747	2.25	0	2.125	2.375	-0.125	0.125
#FFFFFF	4	2.75	3.875	4.125	2.625	2.875
#BBBBBB	3.75	2.5	3.625	3.875	2.375	2.625
#FFFFFF	4.25	4.5	4.125	4.375	4.375	4.625
#181818	1.5	0	1.375	1.625	-0.125	0.125
#666666	2.75	1	2.625	2.875	0.875	1.125
#959595	2.75	0	2.625	2.875	-0.125	0.125
#D0D0D0	4	3.25	3.875	4.125	3.125	3.375
#838383	3.25	2	3.125	3.375	1.875	2.125
#484848	1.75	1	1.625	1.875	0.875	1.125
#FFFFFF	4	4	3.875	4.125	3.875	4.125
#646464	2.5	0	2.375	2.625	-0.125	0.125
#414141	2	1	1.875	2.125	0.875	1.125
#D0D0D0	3.75	3.25	3.625	3.875	3.125	3.375
#373737	2	0	1.875	2.125	-0.125	0.125
#7A7A7A	2.75	2	2.625	2.875	1.875	2.125
#E1E1E1	3.25	2.5	3.125	3.375	2.375	2.625
#FFFFFF	4.25	3.25	4.125	4.375	3.125	3.375
#FFFFFF	4.25	4	4.125	4.375	3.875	4.125
#A8A8A8	2	1.5	1.875	2.125	1.375	1.625
#8F8F8F	2.25	1.5	2.125	2.375	1.375	1.625
#9F9F9F	2.25	2	2.125	2.375	1.875	2.125
#FFFFFF	3.75	2.25	3.625	3.875	2.125	2.375
#444444	1.5	1	1.375	1.625	0.875	1.125
#AEAEAE	2	2	1.875	2.125	1.875	2.125
#D0D0D0	3	2.25	2.875	3.125	2.125	2.375
#8F8F8F	2.5	1.5	2.375	2.625	1.375	1.625
#D0D0D0	3.25	1	3.125	3.375	0.875	1.125
#FFFFFF	3.25	3.25	3.125	3.375	3.125	3.375
#000000	1	0	0.875	1.125	-0.125	0.125
#111111	1.25	0	1.125	1.375	-0.125	0.125
#A4A4A4	1.75	1.5	1.625	1.875	1.375	1.625
#E1E1E1	3	0	2.875	3.125	-0.125	0.125
#3F3F3F	1.25	1	1.125	1.375	0.875	1.125
#5C5C5C	0.75	1	0.625	0.875	0.875	1.125
#070707	0.75	0	0.625	0.875	-0.125	0.125
#484848	1	1	0.875	1.125	0.875	1.125
#B4B4B4	1	1.5	0.875	1.125	1.375	1.625
#B4B4B4	1.5	1.5	1.375	1.625	1.375	1.625
#232323	0.25	0	0.125	0.375	-0.125	0.125
#E1E1E1	1.25	1.5	1.125	1.375	1.375	1.625
#0D0D0D	0.5	0	0.375	0.625	-0.125	0.125
#FFFFFF	3.5	1	3.375	3.625	0.875	1.125
#B4B4B4	1.5	2	1.375	1.625	1.875	2.125
#FFFFFF	3.5	1.5	3.375	3.625	1.375	1.625
#707070	0.5	1	0.375	0.625	0.875	1.125
#464646	0	0	-0.125	0.125	-0.125	0.125
#A8A8A8	0.25	1	0.125	0.375	0.875	1.125
#FFFFFF	1.75	2	1.625	1.875	1.875	2.125
#FFFFFF	1.25	2	1.125	1.375	1.875	2.125
#FFFFFF	0.75	1.5	0.625	0.875	1.375	1.625
#FFFFFF	0.5	1.5	0.375	0.625	1.375	1.625
